miRNA,p_value,fold_change
hsa-miR-105-5p,0.011747206424127193,1.1222409622031626
hsa-miR-106a-5p+hsa-miR-17-5p,0.0010407098648139617,-1.8372978851185169
hsa-miR-106b-5p,0.025759423924335337,-1.1258493382840116
hsa-miR-1200,0.048859092586382054,1.2254279835300865
hsa-miR-1268b,0.002332632320091618,1.419172145010047
hsa-miR-1271-3p,0.02646575165428383,1.0315564362604719
hsa-miR-1275,0.03724939717688666,1.5360649428200277
hsa-miR-1281,0.009983519170811707,1.7040372496447067
hsa-miR-130a-3p,0.003617517957697723,-1.1781414014624207
hsa-miR-134-3p,0.014123135517249783,1.1474381546159138
hsa-miR-137,0.007432428164187628,1.1961629063633334
hsa-miR-144-3p,0.0024063165517179495,-1.3546944171467301
hsa-miR-1469,0.04342174938281782,1.0256008140414539
hsa-miR-15a-5p,4.334294179750753e-05,-2.390449571659531
hsa-miR-15b-5p,0.00048567094557201056,-1.4402638488248523
hsa-miR-181a-5p,0.00267325806445164,-1.2874319749622045
hsa-miR-191-5p,0.012247077186398706,-1.4245384232278446
hsa-miR-196a-5p,0.04375423503117834,1.028717119364862
hsa-miR-19a-3p,0.00120566399190955,-1.4283896036168804
hsa-miR-19b-3p,2.0886670193437533e-05,-2.475954917843404
hsa-miR-20a-5p+hsa-miR-20b-5p,0.0035049266569770164,-1.6570689512400392
hsa-miR-221-3p,0.011867239951065629,-1.4625694527784525
hsa-miR-26b-5p,0.000954097820280088,-2.178702095782994
hsa-miR-27b-3p,0.031855773377732786,-1.1605579453056596
hsa-miR-29b-3p,0.0349230352615368,-1.354503698432233
hsa-miR-346,0.019992681482319315,1.7054955740304991
hsa-miR-3613-5p,0.018890942739176075,1.0681004912607763
hsa-miR-378d,0.024850512917960487,1.0909810735767829
hsa-miR-4443,0.00037543512399557187,1.1721436399118337
hsa-miR-450a-2-3p,0.046856460269038995,1.058806488168602
hsa-miR-485-3p,0.02806559687682643,1.0575995861508551
hsa-miR-494-5p,0.045123709213812126,1.4041765066470768
hsa-miR-505-3p,0.046752780403141014,1.1719661959326864
hsa-miR-508-5p,0.025537420390491984,1.1910507634460854
hsa-miR-513b-5p,0.04616424863417472,1.2424878472474503
hsa-miR-518b,0.0011079755358657881,1.1907195308153808
hsa-miR-520f-3p,0.006611941773795634,1.197427028822072
hsa-miR-539-3p,0.043666395869062895,1.0271496011369403
hsa-miR-548g-3p,0.02064216062658776,1.0660496256691736
hsa-miR-551a,0.022621226077479076,1.005104083118528
hsa-miR-570-3p,0.012651362880917035,1.6930964696215778
hsa-miR-598-3p,0.0068557931487963995,1.2027569268421348
hsa-miR-605-5p,0.02377811684263405,1.3708980705452707
hsa-miR-619-3p,0.03792781898551169,1.115704703669148
hsa-miR-625-5p,0.02254318512696865,1.1297673699453397
hsa-miR-6503-3p,0.019165788457708957,1.0310143102278182
hsa-miR-6721-5p,1.10523314071243e-09,1.193260541621494
hsa-miR-876-5p,0.0074929082906435955,1.320514089162918
hsa-miR-93-5p,0.0007264037658394204,-2.223265459209316
